network,station,name,lat,lon,alt,sensitivity,site,vs30
QH,D0004,D0004,35.42000,101.94000,0,70000000000.0,地表,574.07
QH,D0005,D0005,35.35000,101.90000,0,70000000000.0,地表,741.45
QH,D0011,D0011,35.93000,101.88000,0,70000000000.0,地表,416.38
QH,D0012,D0012,35.87000,101.96000,0,70000000000.0,地表,724.47
QH,D0013,D0013,36.06000,101.91000,0,70000000000.0,地表,391.33
QH,D0014,D0014,36.12000,101.75000,0,70000000000.0,地表,594.78
QH,D0015,D0015,35.83000,102.02000,0,70000000000.0,地表,554.63
QH,D0016,D0016,35.74000,102.05000,0,70000000000.0,地表,434.99
QH,D0017,D0017,35.72000,101.97000,0,70000000000.0,地表,622.23
QH,D0018,D0018,35.79000,101.81000,0,70000000000.0,地表,512.18
QH,D0019,D0019,35.07000,101.82000,0,70000000000.0,地表,397.30
QH,D0020,D0020,35.26000,101.93000,0,70000000000.0,地表,698.37
QH,D0021,D0021,35.23000,101.85000,0,70000000000.0,地表,566.46
QH,D0022,D0022,35.13000,101.95000,0,70000000000.0,地表,425.72
QH,D0023,D0023,35.03000,101.70000,0,70000000000.0,地表,409.44
QH,D0024,D0024,35.50000,101.93000,0,70000000000.0,地表,765.72
QH,D0025,D0025,35.08000,101.60000,0,70000000000.0,地表,507.71
QH,D0027,D0027,35.16000,101.07000,0,70000000000.0,地表,569.31
QH,D0028,D0028,35.89000,102.07000,0,70000000000.0,地表,882.77
QH,D0029,D0029,35.30000,101.12000,0,70000000000.0,地表,488.90
QH,D0031,D0031,34.93000,101.14000,0,70000000000.0,地表,548.03
QH,D0032,D0032,35.00000,101.35000,0,70000000000.0,地表,288.13
QH,D0033,D0033,35.13000,101.46000,0,70000000000.0,地表,370.95
QH,D0034,D0034,34.97000,101.50000,0,70000000000.0,地表,329.27
QH,D0035,D0035,34.85000,101.46000,0,70000000000.0,地表,306.90
QH,D0036,D0036,34.97000,101.26000,0,70000000000.0,地表,258.14
QH,D0037,D0037,34.89000,101.53000,0,70000000000.0,地表,330.48
QH,D0040,D0040,34.80000,101.55000,0,70000000000.0,地表,316.08
QH,D0041,D0041,34.72000,101.69000,0,70000000000.0,地表,461.91
QH,D0042,D0042,34.65000,101.76000,0,70000000000.0,地表,269.19
QH,D0043,D0043,34.59000,101.86000,0,70000000000.0,地表,402.37
QH,D0044,D0044,34.44000,102.01000,0,70000000000.0,地表,382.02
QH,D0045,D0045,34.57000,101.64000,0,70000000000.0,地表,370.17
QH,D0046,D0046,34.52000,101.97000,0,70000000000.0,地表,628.27
QH,D0047,D0047,34.51000,102.08000,0,70000000000.0,地表,469.56
QH,D0048,D0048,34.59000,101.53000,0,70000000000.0,地表,260.56
QH,D0049,D0049,34.45000,101.50000,0,70000000000.0,地表,305.69
QH,D0050,D0050,34.64000,101.40000,0,70000000000.0,地表,505.64
QH,D0051,D0051,34.70000,101.47000,0,70000000000.0,地表,450.19
QH,D0052,D0052,34.25000,101.51000,0,70000000000.0,地表,530.09
QH,D0053,D0053,34.32000,101.43000,0,70000000000.0,地表,569.36
QH,D0054,D0054,35.34000,101.70000,0,70000000000.0,地表,694.66
QH,D0055,D0055,35.28000,101.31000,0,70000000000.0,地表,477.93
QH,DARJM,DARJM,33.73000,99.65000,0,70000000000.0,基岩,404.79
QH,DH026,DH026,34.73000,101.61000,0,70000000000.0,地表,414.55
QH,DH050,DH050,34.33000,101.32000,0,70000000000.0,地表,390.77
QH,DJ024,DJ024,35.77000,101.87000,0,70000000000.0,地表,757.04
QH,DJ049,DJ049,35.94000,102.02000,0,70000000000.0,地表,409.91
QH,DZ023,DZ023,35.04000,101.46000,0,70000000000.0,地表,313.05
QH,DZ048,DZ048,35.20000,101.78000,0,70000000000.0,地表,320.15
QH,E0002,E0002,36.42000,100.90000,0,70000000000.0,地表,463.00
